foreign_direct_investment,gross_savings,unemployment,labor_force,mortality_rate,new_businesses_registered,education_expenditure,age_dependency_ratio,food_production_index,human_capital_index,imports,exports,life_expectancy_birth,manufacturing,tobacco_use,profit_tax,population,literacy_rate,birth_rate,death_rate,migration,agriculture_forestry_fishing,industry,gdp_per_capita
173957253.84148705,84624380688.20026,8.438023217966517,8460836.0,40.8,28735.5,2063297026.0,68.48971648,66.1,0.5933026911601942,10849999758.0,10880000226.0,69.745,298976366901.0519,25.092806868705416,16.66987033657947,30192754.0,78.92272071229543,21.073,5.148,-440402.0183585313,83854094182.83238,508854070572.82556,1596.0037143017826
173957253.84148705,84624380688.20026,8.438023217966517,8669900.0,40.3,28735.5,2070572428.0,65.69876058,70.33,0.5933026911601942,11079835972.0,13692378406.0,70.183,16939691171.0,25.092806868705416,16.66987033657947,30623406.0,78.92272071229543,20.175,5.05,-440402.0183585313,5402499474.0,22438534563.0,1588.3465218401898
173957253.84148705,84624380688.20026,29.77000046,8879547.0,39.7,28735.5,2326458841.0,63.05268003,66.13,0.5933026911601942,11390139516.0,23050102312.0,70.64,24859686420.0,25.092806868705416,16.66987033657947,31042235.0,78.92272071229543,19.554,4.961,-440402.0183585313,4599667818.0,30145934095.0,1765.0221981761301
173957253.84148705,84624380688.20026,27.29999924,9106753.0,38.9,28735.5,2374333351.0,60.2510598,70.44,0.5933026911601942,12053066114.0,20085454899.0,71.116,22102428285.0,25.092806868705416,16.66987033657947,31451514.0,78.92272071229543,19.257,4.882,-440402.0183585313,5337291977.0,27850598977.0,1740.6070107149692
173957253.84148705,84624380688.20026,25.89999962,9327491.0,37.8,28735.5,2437683864.0,57.75290606,73.93,0.5933026911601942,14547453628.0,20152476092.0,71.605,22057177280.0,25.092806868705416,16.66987033657947,31855109.0,69.87349701,19.27,4.814,-205228.0,5236126101.0,28374337994.0,1781.825545848862
173957253.84148705,84624380688.20026,23.71999931,9544295.0,36.5,28735.5,2922001560.0,55.51531284,85.66,0.5933026911601942,16203129401.0,25957119969.0,72.101,28008747335.0,25.092806868705416,16.66987033657947,32264157.0,78.92272071229543,19.557,4.757,-440402.0183585313,6657820273.0,34921454874.0,2103.3818219084415
173957253.84148705,84624380688.20026,17.64999962,9764165.0,35.1,28735.5,3654636790.0,53.51013457,94.79,0.5933026911601942,21884325697.0,34175414545.0,72.594,36662799895.0,25.092806868705416,16.66987033657947,32692163.0,78.92272071229543,20.077,4.71,-440402.0183585313,8055087627.0,45204948173.0,2609.9528233112014
-1101000000.0,53519474888.0,15.27000046,9985163.0,33.6,28735.5,4382785325.0,51.7731857,98.73,0.5933026911601942,24843327242.0,48714922833.0,73.072,50535698445.0,25.092806868705416,9.9,33149724.0,78.92272071229543,20.774,4.674,-440402.0183585313,7937300328.0,59796892037.0,3113.0953308389535
-1762000000.0,63753929043.0,12.27000046,10196156.0,32.1,4218.0,5020700540.0,50.49048192,106.48,0.5933026911601942,25651596909.0,57121832267.0,73.521,58556945542.0,25.092806868705416,9.9,33641002.0,72.64868164,21.582,4.651,-440402.0183585313,8827460611.0,69608777286.0,3478.710928586491
-1539745128.0,76641860870.0,13.78999996,10401602.0,30.8,3622.0,5941376270.0,49.55799223,95.15,0.5933026911601942,33536035179.0,63469316609.0,73.936,64946237024.0,20.8,8.3,34166972.0,78.92272071229543,22.424,4.639,-357340.0,10208664937.0,78611634948.0,3946.664451798655
-2320754664.0,98286684436.0,11.32999992,10600180.0,29.5,4651.0,7583958955.0,48.95977672,101.02,0.5933026911601942,49098439145.0,82038309074.0,74.311,84124156085.0,25.092806868705416,8.3,34730608.0,75.13604736,23.226,4.637,-440402.0183585313,11263750387.0,101178244038.0,4923.843185037244
-2532507565.0,64861653506.0,10.15999985,10801298.0,28.4,4574.0,6070831086.0,48.66997276,122.17,0.5933026911601942,49329277357.0,48532072953.0,74.644,49599270475.0,25.092806868705416,6.5,35333881.0,78.92272071229543,23.932,4.643,-440402.0183585313,12819669649.0,66634824501.0,3883.1324253058983
-2081136054.0,80358713936.0,9.960000038,11074293.0,27.4,4122.0,7184159788.0,48.67453557,130.29,0.5312829018,50638394033.0,61955415939.0,74.938,62810442145.0,20.0,6.5,35977455.0,78.92272071229543,24.504,4.656,-440402.0183585313,13644120414.0,82325453568.0,4479.3417195852235
-2037319358.0,97106620957.0,9.960000038,11295173.0,26.7,4711.0,8840840162.0,49.21309473,144.1,0.5933026911601942,57445339739.0,77674908717.0,75.199,79230761839.0,25.092806868705416,6.5,36661444.0,78.92272071229543,24.934,4.67,-440402.0183585313,16241811942.0,100409251887.0,5462.260897224888
-1541844615.0,98643783929.0,10.97000027,11532685.0,26.2,7724.0,9166157285.0,49.77822268,149.67,0.5933026911601942,59601221148.0,77109084462.0,75.436,78978014184.0,19.8,6.5,37383887.0,78.92272071229543,25.246,4.685,-143268.0,18332598324.0,101002682141.0,5591.21235322587
-1963635050.0,95170980739.0,9.819999695,12003272.0,25.8,7698.0,9167944716.0,50.49721717,164.91,0.5933026911601942,63758144369.0,69649242882.0,75.661,70080372890.0,25.092806868705416,6.5,38140132.0,78.92272071229543,25.451,4.699,-440402.0183585313,20660191484.0,93821630134.0,5498.784094979011
-1520777119.0,92716052466.0,10.21000004,11584916.0,25.5,8426.0,9337014587.0,51.50918943,142.51,0.5933026911601942,68278496773.0,65201041460.0,75.878,65858972195.0,19.4,6.5,38923687.0,78.92272071229543,25.538,4.709,-440402.0183585313,21998540218.0,91580638034.0,5494.352336046685
638915215.3,60567408593.0,11.21000004,11878706.0,25.2,8093.0,7217958498.0,52.8377883,151.0,0.5933026911601942,60760829186.0,38548939877.0,76.09,38035865021.0,25.092806868705416,6.5,39728025.0,78.92272071229543,25.481,4.715,-440402.0183585313,19262522397.0,60519975114.0,4187.509727478273
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,94.39,0.5933026911601942,559000000.0,518000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,59080.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,8700.067704807041
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,101.02,0.5933026911601942,571000000.0,513000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,59504.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,8856.547458994353
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,97.6,0.5933026911601942,567000000.0,460000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,59681.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,8578.944722776092
173957253.84148705,84624380688.20026,9.979999542,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,97.7,0.5933026911601942,614000000.0,498000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,59562.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,8444.981699741445
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,104.69,0.5933026911601942,634000000.0,495000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,59107.0,78.92272071229543,21.6,4.0,-440402.0183585313,83854094182.83238,508854070572.82556,8391.56106721708
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,108.88,0.5933026911601942,621000000.0,505000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,58365.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,8909.449156172364
